# Lodd svinger i fjær.
# Masse: 89 gram.
# Tid t i sekunder.
# Utslag y i meter.
#
# Kilde: Knut Skrindo
#
t;y
6.200033333;0.0887873374
6.233366667;0.11152567469999997
6.2667;0.13027025879999998
6.300033333;0.14320069299999996
6.333366667;0.15218399869999996
6.3667;0.15586086849999997
6.400033333;0.15465515259999998
6.433366667;0.14906995229999997
6.4667;0.13918738009999998
6.500033333;0.12436641889999997
6.533366667;0.1061823234
6.5667;0.08360551299999996
6.600033333;0.0590084729
6.633366667;0.031247959699999994
6.6667;0.0023422165999999467
6.700033333;-0.025314773400000046
6.733366667;-0.05167152930000002
6.7667;-0.07598967960000003
6.800033333;-0.09656536590000003
6.833366667;-0.11448806880000001
6.8667;-0.1298315995
6.900033333;-0.1415229816
6.933366667;-0.14855511910000008
6.9667;-0.15011285650000006
7.000033333;-0.14723069369999997
7.033366667;-0.14038380849999998
7.0667;-0.12733792780000003
7.100033333;-0.11112545270000002
7.133366667;-0.09133561500000004
7.1667;-0.06900275820000001
7.200033333;-0.0459154645
7.233366667;-0.020562114700000023
7.2667;0.006498199900000001
7.300033333;0.032527285599999956
7.333366667;0.0600107084
7.3667;0.08524433449999996
7.400033333;0.10725061129999997
7.433366667;0.12587390129999998
7.4667;0.13942440249999996
7.500033333;0.14928590359999996
7.533366667;0.15415483519999998
7.5667;0.15489759039999998
7.600033333;0.15108731969999997
7.633366667;0.14258738589999997
7.6667;0.12793281869999998
7.700033333;0.11005404229999999
7.733366667;0.0881145049
7.7667;0.06237192679999998
7.800033333;0.034881428999999964
7.833366667;0.007375252499999985
7.8667;-0.0206202204
7.900033333;-0.04648263020000004
7.933366667;-0.07122001980000003
7.9667;-0.09402769320000004
8.000033333;-0.11323439290000004
8.033366667;-0.1301086556
8.0667;-0.1429328809
8.100033333;-0.14969756760000008
8.133366667;-0.15161707570000005
8.1667;-0.14812218109999997
8.2017;-0.1407540208
8.235033333;-0.12983775480000004
8.268366667;-0.11403666280000002
8.3017;-0.0963669151
8.335033333;-0.07459830630000003
8.368366667;-0.05134461360000003
8.4017;-0.026505624100000014
8.435033333;0.0009775644999999722
8.468366667;0.02870056339999999
8.5017;0.05520533329999999
8.535033333;0.07686863799999999
8.568366667;0.10218759719999998
8.6017;0.12026104489999997
8.635033333;0.134832251
8.668366667;0.14452913519999996
8.7017;0.15059377759999998
8.735033333;0.15349283889999998
8.768366667;0.1510010398
8.8017;0.1443706436
8.835033333;0.13095220859999998
8.868366667;0.11282497929999996
8.9017;0.09132859049999997
8.935033333;0.06647268509999998
8.968366667;0.0403542952
9.0017;0.014285517299999995
9.035033333;-0.012296853300000021
9.068366667;-0.03996591470000005
9.1017;-0.06488896040000003
9.135033333;-0.08922612750000003
9.168366667;-0.11160504460000004
9.2017;-0.12878069460000002
9.235033333;-0.14221812700000003
9.268366667;-0.1502814214
9.3017;-0.15295212550000004
9.335033333;-0.1514566382
9.368366667;-0.14457062850000002
9.4017;-0.1346525541
9.435033333;-0.12026743920000005
9.468366667;-0.10233916140000004
9.5017;-0.08194481510000001
9.535033333;-0.05755665500000001
9.568366667;-0.03148206320000002
9.6017;-0.0045000740000000206
9.635033333;0.023132814099999954
9.668366667;0.050395432399999995
9.7017;0.07332192709999996
9.735033333;0.09613192039999996
9.768366667;0.11521630319999998
9.8017;0.1307355501
9.835033333;0.14301004969999997
9.868366667;0.15057287799999997
9.9017;0.1541569329
9.935033333;0.15212058829999997
9.968366667;0.14521033789999999
10.0017;0.13315922999999996
10.03503333;0.11555531799999996
10.06836667;0.09458447679999998
10.1017;0.07189100949999999
10.13503333;0.04766150469999997
10.16836667;0.0215334519
10.2017;-0.004821628900000041
10.23503333;-0.031466719700000034
10.26836667;-0.058938120500000024
10.3017;-0.08338712350000005
10.33503333;-0.10623481020000003
10.36836667;-0.1256509711
10.4017;-0.13926142670000008
10.43503333;-0.14853161690000005
10.47003333;-0.15217753460000005
10.50336667;-0.15125751910000007
10.5367;-0.14664748940000005
10.57003333;-0.1379885394
10.60336667;-0.12623808050000002
10.6367;-0.10827818820000001
10.67003333;-0.08779867120000001
10.70336667;-0.06421439340000001
10.7367;-0.03743826080000001
10.77003333;-0.010102681800000013
10.80336667;0.016756484999999988
10.8367;0.04350174059999995
10.87003333;0.06725776169999997
10.90336667;0.09010562589999999
10.9367;0.10976103979999996
10.97003333;0.12720694439999997
11.00336667;0.14007207239999997
11.0367;0.14920872279999997
11.07003333;0.15329233849999999
11.10336667;0.15219872359999997
11.1367;0.14535622059999997
11.17003333;0.13359114139999997
11.20336667;0.11803601309999995
11.2367;0.09883008779999997
11.27003333;0.0757774269
11.30336667;0.05433884969999997
11.3367;0.028800899899999954
11.37003333;0.003402490999999952
11.40336667;-0.025061276300000046
11.4367;-0.05196399330000001
11.47003333;-0.0778775075
11.50336667;-0.10012514100000003
11.5367;-0.11948040310000002
11.57003333;-0.13287275490000006
11.60336667;-0.1436484964
11.6367;-0.149479798
11.67003333;-0.150817058
11.70336667;-0.14814606610000003
11.7367;-0.14162222940000002
11.77003333;-0.130999354
11.80336667;-0.11432987090000002
11.8367;-0.09289548880000004
11.87003333;-0.06966271690000003
11.90336667;-0.04431359110000005
11.9367;-0.016513483500000037
11.97003333;0.009260179499999965
12.00336667;0.03509303429999999
12.0367;0.060133333099999964
12.07003333;0.08413091109999998
12.10336667;0.10553869529999999
12.1367;0.12392737749999996
12.17003333;0.13823442149999998
12.20336667;0.14808782169999998
12.2367;0.15174769219999998
12.27003333;0.15051576929999996
12.30336667;0.1448067866
12.3367;0.13429245609999999
12.37003333;0.12080622119999998
12.40336667;0.10322805819999997
12.4367;0.08309641169999998
12.47003333;0.06112883539999997
12.50336667;0.035239602599999975
12.5367;0.0082553863
12.57003333;-0.019156885499999998
12.60336667;-0.045266481800000036
12.6367;-0.07034553000000004
12.67003333;-0.09186690700000005
12.70336667;-0.110302489
12.7367;-0.1257373149
12.77003333;-0.13695048350000005
12.80503333;-0.14490654000000003
12.83836667;-0.15001057660000006
12.8717;-0.14893401550000007
12.90503333;-0.1431142836
12.93836667;-0.1313199975
12.9717;-0.11558236520000004
13.00503333;-0.0962933876
13.03836667;-0.07353194470000002
13.0717;-0.049508161900000014
13.10503333;-0.024285276700000025
13.13836667;0.0023557215999999714
13.1717;0.02791897919999997
13.20503333;0.05405625669999997
13.23836667;0.07573503769999995
13.2717;0.10126800609999997
13.30503333;0.12028313189999998
13.33836667;0.13504729459999998
13.3717;0.14439645399999998
13.40503333;0.14875940249999997
13.43836667;0.14843366169999997
13.4717;0.14522876059999998
13.50503333;0.13615842659999997
